Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	JD_MOBS	HJD_MOBS	BJD_MOBS	ALT_OBJ	AIRMASS	FWHM_Mean	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	Variance_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	Variance_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	Variance_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	Variance_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	Variance_C5	N_Src_Pixels_C2	N_Sky_Pixels_C2	N_Src_Pixels_C3	N_Sky_Pixels_C3	N_Src_Pixels_C4	N_Sky_Pixels_C4	N_Src_Pixels_C5	N_Sky_Pixels_C5	HJD_UTC	BJD_TDB	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K
0001-reg-norm.fits	1	0	59820.19689236116	2459820.196892361	NaN	NaN	NaN	NaN	NaN	NaN	4.772904631097719	11.835808409446207	1.4	11.929604188953517	40	60	2.2132699774529025	0.5886350007721017	0.1457101461223529	0.1853682510314912	0.5288463043832277	10.157598559308752	5.069118084625506	2.630443933089845	2.7744499788356607	4.621578670861215	0.2178930349068176	0.1161217771898854	0.0553937471501986	0.0668126123900362	0.1144297959737379	2.892401963611853	12.904052694347305	529.1464106711908	452.064845654477	529.6464106711908	370.435154345523	6.401666428787936	440.09428165932724	6.89157102343477	0.9289124942656887	0.2171962261199951	0.0145461249908796	0.0034604999415923	5991	4.775267744185334	7.303000235154359	7.528148993221509	7.077851477087208	20.36188664867974	0.9217679692322266	0.0009187227821386	315.6586027910039	608.885101097928	316.1586027910039	213.614898902072	1.0717181928236605	6.484996312566603	0.1652611876967283	0.0401466190814972	0.002435201359088	0.0034496852075471	4.80354156545719	7.221159133072516	7.435801036070061	7.00651723007497	18.212613906307844	0.9287167011619373	0.000026420533799	394.36194410273913	529.9382809173039	394.86194410273913	292.5617190826961	0.3678524748941654	6.4376443015960545	0.0571408511655367	0.0161401238292456	0.0008358492491818	0.003446981980915	4.672220548836828	7.2741042386839645	7.580856865429086	6.9673516119388434	13.658353741246781	0.9093333157642671	0.0000031856074152	386.2473079928075	277.1456751949053	386.7473079928075	545.3543248050946	0.4523147071032325	6.444932007348758	0.0701814552252042	0.0189397968351841	0.0010277677442157	0.0034669313642758	4.777167064964077	7.223270481626951	7.087166451258242	7.359374511995661	52.60933721885093	0.8654497265230955	0.0000047317088132	174.89409215715617	460.0266220995777	175.39409215715617	362.4733779004223	1.0005165887907943	6.440418156553878	0.1553496317273517	0.0226194355636835	0.0022734141989268	0.0024152369682231	4.836326232045161	12.428139137645601	12.638770973471845	12.217507301819357	19.499812023266937	0.9573072765368167	0.0000068639237272	440.0942816593272	6220	440.09428165932724	6013	440.0942816593272	6013	440.0942816593272	6261	0	0	0	0	0	0
0001-reg-norm.fits	1	0	59820.19689236116	2459820.196892361	NaN	0	0	0	NaN	NaN	4.774686212271805	8.872502869627517	1.4	10.587512017270647	8	10	6.003045013384396	0	0	0	0	51.666361129983116	0	0	0	0	0.1161886550957563	0	0	0	0	0.9915341310996543	8.402501161567123	529.0873659650433	452.0626756776473	529.5873659650433	370.4373243223527	5.95222402129821	247.31028029112238	8.952820850460663	0.6648434187077407	0.2171962261199951	0.0240678390493574	0.0046956632150681	103	4.76582886122869	6.198170037763135	6.465413286048335	5.930926789477935	21.840474305308273	0.8872893863450823	0	315.6942435661137	608.9009079550589	316.1942435661137	213.59909204494113	0.9915341310996543	8.402501161567123	0.1180046407651703	0.0401466190814972	0.0040092717938473	0.0036749355075461	4.783543563314918	5.9793520749499915	6.209590813419548	5.749113336480435	21.945836857770185	0.8984242337675257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247.31028029112235	111	0	0	0	0	0	0	NaN	0	NaN	15	NaN	NaN
0002-reg-norm.fits	2	0	59820.197077546734	2459820.1970775467	NaN	0	0	0	NaN	NaN	5.296539509384109	10.187670762861107	1.4	10.587512017270647	8	10	5.863102603762782	0	0	0	0	64.41429465559192	0	0	0	0	0.0910217620966187	0	0	0	0	0.9893392712684186	10.69824688362418	529.0581234808645	452.0310186750639	529.5581234808645	370.4689813249361	5.8005976573786375	326.0616150405329	11.260124941562328	0.5151450527842732	0.1832030266523361	0.0177898820033065	0.0048974764204639	102	5.2253276377998645	6.503856735787963	7.224240521680803	5.783472949895121	345.7595604322815	0.7754464492981876	0	315.74541179239463	608.7929314573615	316.24541179239463	213.70706854263847	0.9893392712684186	10.69824688362418	0.0924767657757835	0.0329586081206799	0.0030342095654082	0.003661813519878	5.367751380968354	6.5426828261842225	7.329574853835064	5.755790798533382	0.1219095344964527	0.7852812502740257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326.0616150405329	109	0	0	0	0	0	0	NaN	0	NaN	15	NaN	NaN
0003-reg-norm.fits	3	0	59820.19727430586	2459820.197274306	NaN	0	0	0	NaN	NaN	5.517071078099184	9.409430354011349	1.4	10.587512017270647	8	10	5.834345630121004	0	0	0	0	55.98174078805501	0	0	0	0	0.1042187246768485	0	0	0	0	0.9883081764033397	9.335501976475456	528.8606330821846	452.01731151193894	529.3606330821846	370.48268848806106	5.766131490211683	278.1483812785791	9.720898234343968	0.5931685890754334	0.1717956066131592	0.0207304154124723	0.005102383921567	107	5.487141689672831	6.5836083881303775	6.615161137397604	6.552055638863151	39.94962781287335	0.9467619797660116	0	315.6312273183864	608.8861174077888	316.1312273183864	213.6138825922112	0.9883081764033397	9.335501976475456	0.1058655634044938	0.0318214856088161	0.0035531688944596	0.0036947222430806	5.547000466525536	6.504098088988698	6.826882225475751	6.181313952501644	2.1705443711797017	0.9051768641515698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278.1483812785791	109	0	0	0	0	0	0	NaN	0	NaN	15	NaN	NaN
0004-reg-norm.fits	4	0	59820.19745949097	2459820.197459491	NaN	0	0	0	NaN	NaN	4.69356721495053	9.095622220693517	1.4	10.587512017270647	8	10	5.891790324753222	0	0	0	0	53.24550896791929	0	0	0	0	0.1106532821069108	0	0	0	0	0.9941073117999191	8.843717861192973	528.775912014004	451.98483293978063	529.275912014004	370.51516706021937	5.857071841429198	259.9050396248314	9.316897681497588	0.6286504415585401	0.2076824009418488	0.0225354300550839	0.0048750831872152	103	4.85987328139453	6.318922513960835	6.701801450153674	5.936043577767996	358.1879124380439	0.885521047980552	0	315.5262666658152	608.7733892951895	316.0262666658152	213.72661070481047	0.9941073117999191	8.843717861192973	0.1124083024134172	0.0434905588626862	0.0038248866325751	0.0036932765786467	4.527261148506529	5.8676915069628635	6.291944579408493	5.443438434517235	350.80650293460246	0.8583261150400057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259.9050396248314	108	0	0	0	0	0	0	NaN	0	NaN	15	NaN	NaN
0005-reg-norm.fits	5	0	59820.19764467608	2459820.197644676	NaN	0	0	0	NaN	NaN	4.9472027383019626	9.305502057328207	1.4	10.587512017270647	8	10	5.923827479380044	0	0	0	0	57.04136508060356	0	0	0	0	0.1038514325701927	0	0	0	0	0.9820815490897663	9.316492029988794	528.92912134668	452.0815974716248	529.42912134668	370.4184025283752	5.8176816674900795	272.03794885887226	9.607338836198112	0.6055455903741495	0.202854186296463	0.0213855518757354	0.0050123473961971	105	4.902722758913178	6.325789368704292	6.649405026374511	6.0021737110340725	1.1142405683891536	0.9025928233306798	0	315.6223542519418	608.8655165834655	316.1223542519418	213.63448341653452	0.9820815490897663	9.316492029988794	0.1054132334282636	0.0365003682672977	0.0036100902583972	0.0037229031216926	4.991682717690747	6.220080729866709	6.644169341237215	5.795992118496201	356.6547285467453	0.8715158046219269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272.03794885887226	104	0	0	0	0	0	0	NaN	0	NaN	15	NaN	NaN
0006-reg-norm.fits	6	0	59820.197841435205	2459820.197841435	NaN	0	0	0	NaN	NaN	4.544078962962942	8.456466227198108	1.4	10.587512017270647	8	10	5.845579705464713	0	0	0	0	45.89860429643213	0	0	0	0	0.1273585503321963	0	0	0	0	1.007091169157297	7.784066661613372	528.8211041747998	451.9866581311114	529.3211041747998	370.5133418688886	5.887031699978626	224.66101166098125	8.13625885888025	0.7235551132389643	0.2617058455944061	0.0262040647660854	0.0047181378965351	110	4.4837142657511775	5.901203535385801	5.781194090562535	6.021212980209067	284.74697145211326	0.9543324176529757	0	315.80647250794215	608.8192615730184	316.30647250794215	213.68073842698163	1.007091169157297	7.784066661613372	0.1293785386144883	0.0459312237799168	0.0044827144759636	0.0036543907512995	4.604443660174706	5.923449889925895	5.7874467212064165	6.059453058645374	287.6116672502966	0.9453105897696017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224.66101166098122	110	0	0	0	0	0	0	NaN	0	NaN	15	NaN	NaN
0007-reg-norm.fits	7	0	59820.19802662078	2459820.198026621	NaN	0	0	0	NaN	NaN	4.574266368890918	8.935305664726952	1.4	10.587512017270647	8	10	5.923590984952667	0	0	0	0	52.825448614987096	0	0	0	0	0.1121351761369062	0	0	0	0	0.9933388594339504	8.725578850374223	529.0023351542667	451.9380674090104	529.5023351542667	370.5619325909896	5.884133112746113	250.82377515602045	9.052870198154196	0.6499743157640588	0.2379073947668076	0.0234592319212403	0.0047660058373314	103	4.611160160090355	6.079128748413057	6.387833317071868	5.770424179754246	9.040822647890316	0.8985529521277726	0	315.898381003183	608.9468865262309	316.398381003183	213.55311347376914	0.9933388594339504	8.725578850374223	0.113842173277862	0.043054923415184	0.0039603058315188	0.0036890432622862	4.537372577691482	6.031202070330859	6.376889061109494	5.685515079552224	9.009319856206384	0.8862702181621488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250.82377515602042	103	0	0	0	0	0	0	NaN	0	NaN	15	NaN	NaN
0008-reg-norm.fits	8	0	59820.198211805895	2459820.198211806	NaN	0	0	0	NaN	NaN	4.559862400047374	8.685864556553154	1.4	10.587512017270647	8	10	5.953846826627841	0	0	0	0	49.24939352057515	0	0	0	0	0.1208917795940061	0	0	0	0	0.9876178737943081	8.038326458048791	528.9355245981149	451.9811357938435	529.4355245981149	370.5188642061565	5.880125543811177	237.0150798622232	8.679192932216134	0.6774968121730361	0.2449208199977875	0.0248090777482567	0.0046379833696775	102	4.509085786630406	5.999327408966605	6.1985378582330775	5.800116959700132	350.10745172267525	0.9318190880286904	0	315.5750448318802	608.9911516655008	316.0750448318802	213.50884833449925	0.9876178737943081	8.038326458048791	0.1228636183101775	0.0418387688696384	0.0041668988925448	0.0036646586601835	4.610639013464342	5.793079281647202	6.209840079700002	5.376318483594403	355.8527242996406	0.864437343547747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237.01507986222325	114	0	0	0	0	0	0	NaN	0	NaN	15	NaN	NaN
0009-reg-norm.fits	9	0	59820.19839699101	2459820.198396991	NaN	0	0	0	NaN	NaN	4.970778380474664	9.262373658756275	1.4	10.587512017270647	8	10	5.770155289083285	0	0	0	0	55.395350844919385	0	0	0	0	0.1041631689496285	0	0	0	0	0.9563767822152736	9.03366461720143	528.8546185492136	452.0164227319237	529.3546185492136	370.4835772680763	5.518442548255914	269.52215283972185	9.469583232846016	0.5827545323340894	0.1853788793087006	0.0204749126931232	0.0052102198476128	107	4.911617752782175	6.497773774083015	6.64057531790996	6.354972230256071	26.37928143584711	0.9298582886633495	0	315.79557454032005	608.6985685474921	316.29557454032005	213.80143145250793	0.9563767822152736	9.03366461720143	0.1058680859586254	0.0349058881402016	0.0035484162327243	0.0037674564041768	5.029939008167153	6.372269224961558	6.591387051741862	6.153151398181254	19.188674912016747	0.915899814204494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269.52215283972185	111	0	0	0	0	0	0	NaN	0	NaN	15	NaN	NaN
