P_MASS,P_RADIUS,P_TEMP_EQUIL,P_PERIOD,P_SEMI_MAJOR_AXIS,S_TEMPERATURE,S_MASS,S_RADIUS,P_FLUX,P_GRAVITY,P_ESI
16.6,2.9,541.98483,31.884,0.1994,5779.0,1.1,1.03,20.490365,1.9738407,0.27203194
5.1,2.11,1001.1171,6.8833756,0.0678,5698.0,0.98,0.97,238.52868,1.1455268,0.25476271
12.2,3.52,1104.4682,1.921036,0.0291,5060.0,0.89,0.82,353.35726,0.98463326,0.19390612
4.94,2.07,681.30334,11.119907,0.0911,5240.0,0.87,0.79,51.163853,1.1528857,0.27672114
13.2,2.76,595.75408,7.493134,0.0657,4227.0,0.68,0.67,29.91364,1.7328292,0.26044049
422.7139,13.6,1353.4874,4.07182,0.053,5856.0,1.2,1.44,797.0927,2.2854341,0.067319209
25.5,5.44,559.40675,17.0503,0.12,4929.0,0.85,0.82,23.274946,0.86167279,0.18841577
7838.3235,12.0,313.45519,3180.6,5.829,4887.0,2.61,12.24,2.3490021,54.432802,0.3373425
787.89662,13.3,493.87889,696.62,1.912,4809.0,1.92,10.38,14.220357,4.4541615,0.13562122
357.87479,13.7,659.97527,414.88,1.319,4879.0,1.78,12.38,45.934794,1.9067334,0.088135675
6299.6769,12.1,139.29974,5429.9348,6.805,6667.33,1.41,1.53,0.091256564,43.027641,0.15992948
7.943,4.23,596.25222,56.00819,0.308,6120.0,1.26,1.45,30.34339,0.4439191,0.20694534
3.4,1.402,1331.9858,1.2730991,0.02118,5059.0,0.79,0.73,766.12592,1.7297482,0.28487692
732.0,12.53,321.83958,225.11781,0.768,6096.0,1.19,1.15,4.6710617,4.6623937,0.24327995
114.4188,13.2,285.48886,57.435,0.25,3901.0,0.69,0.65,1.6124565,0.65667355,0.37027471
1789.3829,12.8,848.4906,433.70001,1.09,4312.0,0.72,20.58,126.51179,10.921526,0.078038714
1739.4749,12.8,42.591788,20608.14,13.39,4678.0,0.75,0.57,0.00082368107,10.616912,0.070521771
2685.65,12.6,147.90128,3700.0,5.0,5957.0,1.18,1.21,0.13862636,16.916415,0.19383483
6098.1736,12.1,313.86461,1062.2651,2.491,5020.0,1.81,5.34,3.3193869,41.651347,0.29066816
1188.6842,13.0,97.633371,4375.0,5.15,5312.0,0.7,0.84,0.021635587,7.0336343,0.091215607
7.32,2.18,660.57708,2.527093,0.0285,3709.0,0.47,0.47,48.505343,1.5402744,0.27249568
203.41018,10.27,609.64599,24.1396,0.1688,5050.0,1.1,1.34,35.021205,1.928554,0.11439136
26.57,2.607,528.26352,47.42489,0.2958,6169.0,1.1,1.12,18.492842,3.9093944,0.29154607
187.512,13.047,1269.3885,3.7130203,0.04853,5763.0,1.11,1.22,616.56578,1.1015589,0.070202469
62.61,11.153,776.16119,5.508023,0.0559,4803.0,0.77,0.75,86.639115,0.50333867,0.090927687
7.25,2.16,1199.0817,3.98442,0.049,5863.0,1.02,1.05,492.98391,1.5539266,0.24944255
451.3186,14.011,1475.6144,4.12508,0.05524,6397.0,1.1,1.45,1125.8814,2.2990317,0.065191477
101.38777,11.187,710.50239,3.3252725,0.03623,3724.0,0.57,0.57,60.515041,0.81013668,0.095913301
44.1,7.52,659.46748,5.1857539,0.0629,4690.0,0.69,0.67,46.609183,0.77983533,0.13300305
1052.012,13.1,71.282395,27000.0,18.0,5794.0,1.07,1.53,0.014190121,6.130249,0.08314438
266.9772,15.98,1526.6972,3.313959,0.0475,6061.0,1.3,1.81,1290.0685,1.0454918,0.057873065
114.4188,13.675,1413.9573,4.35301,0.05362,5950.0,0.72,1.37,949.1752,0.61184684,0.066780801
6.89,2.518,764.6409,10.35509,0.0682,5200.0,0.82,0.77,81.176674,1.0866953,0.2456444
22.1,4.17,598.93765,2.6438831,0.0291,3586.11,0.47,0.46,31.003146,1.2709257,0.20789076
3.4,1.66,366.38256,9.1247,0.061,3505.0,0.34,0.34,4.2789807,1.2338511,0.52704265
254.264,16.814,1916.7618,2.14363,0.03444,5920.0,0.88,1.58,3205.3371,0.8993791,0.054797605
16.4,6.98,730.94703,14.85888,0.1172,5345.0,0.97,1.11,67.786744,0.33661464,0.13274712
37.35,1.85,1337.683,1.011534,0.0182,4714.0,0.78,0.75,770.11995,10.913075,0.26387166
371.8611,18.159,1903.0314,2.70579,0.0447,6480.0,1.48,2.1,3114.4758,1.1277086,0.051096828
750.39663,14.874,1557.8144,1.537366,0.02677,5959.0,1.08,0.99,1398.8839,3.3918397,0.061641258
171.6282,15.805,1486.1565,3.7521,0.05165,6300.0,1.18,1.48,1158.4021,0.68706788,0.058540397
9.8,3.1,796.434,9.192522,0.0823,5550.0,0.95,0.88,95.54332,1.0197711,0.21854598
3400.764,12.4,121.90925,8500.0,8.9620237,6412.0,1.33,1.42,0.058500189,22.117351,0.12967859
95.03117,13.271,1124.7857,4.5195064,0.05427,5839.0,1.04,0.97,380.08467,0.53958365,0.070246573
15.6,4.07,657.37963,16.364988,0.1208,5550.0,0.95,0.88,44.347193,0.94175033,0.19987672
368.6828,13.563,1631.735,2.176423,0.0345,5700.0,1.16,1.44,1720.7978,2.0042014,0.066760969
7.99,1.875,1830.0298,0.7365474,0.01544,5172.0,0.91,0.94,2668.3879,2.2727111,0.2613764
1137.8314,18.786,1769.3484,4.7869491,0.06555,7394.0,1.65,1.93,2327.312,3.2241058,0.049648215
166.86075,14.785,1229.6266,4.4652998,0.05561,5980.0,1.15,1.17,542.86796,0.7633286,0.063168333
394.1092,15.468,1613.035,2.34121,0.03651,6075.0,1.43,1.42,1607.5938,1.6472073,0.059423299
1010.6994,13.1,218.90496,421.0,1.07,5545.0,0.93,0.87,0.58326102,5.8895134,0.36528976
2866.8122,12.663,1300.3171,5.6335158,0.06814,6380.0,1.33,1.39,852.68907,17.878292,0.071564291
209.7678,18.159,1390.9149,3.24406,0.0455,5754.0,0.81,1.46,889.86663,0.63614331,0.051940669
587.41341,14.314,1661.435,1.3273468,0.0241,5620.0,1.03,1.04,1814.803,2.8669613,0.063609167
502.15,12.184,1620.1487,1.6284279,0.0267,5700.0,0.96,1.03,1637.9146,3.3826237,0.073399944
718.2958,15.637,1842.0916,1.3484978,0.0238,6125.0,1.07,1.12,2734.2995,2.9376257,0.058575136
464.98529,11.433,1569.6743,1.651144,0.02734,5640.0,1.0,1.09,1447.2101,3.5572862,0.077668164
224.38798,13.171,1290.1931,3.1743516,0.04354,5943.0,1.09,1.06,662.57288,1.2934871,0.069507373
67.059,10.749,879.90158,3.2130598,0.0384,4650.0,0.73,0.7,142.34347,0.58039137,0.088733732
486.2799,11.097,1049.1183,10.33111,0.097,5735.0,1.14,1.66,292.81962,3.948891,0.082638
266.97,22.31,1583.4034,8.6001536,0.0948,6161.0,1.54,3.21,1507.3839,0.53636857,0.042630862
3.0,1.565,415.17819,25.575,0.1538,4500.0,0.74,0.68,7.0824699,1.2248773,0.44553947
120.7754,8.295,1607.5235,2.87589,0.04364,6179.0,1.42,1.41,1585.7347,1.7552772,0.10182417
508.528,12.285,1299.5254,2.3447802,0.0337,5600.0,0.93,0.94,677.23625,3.3694929,0.073802519
1369.8473,12.285,1537.9122,2.5079204,0.03783,6007.0,1.15,1.27,1328.3953,9.0765716,0.073024845
55.2,8.58,1697.4992,2.1558,0.035,6400.0,1.22,1.23,1972.0266,0.74983292,0.098883669
346.4347,11.545,1267.5747,1.706291,0.0269,5165.0,0.89,0.91,613.04936,2.599163,0.078029026
238.05467,15.614,1408.6502,3.9228107,0.05287,6350.0,1.28,1.34,939.98084,0.97644628,0.059392693
177.98391,10.1,434.22907,34.525528,0.2069,5026.0,0.77,0.75,8.4427439,1.7447692,0.19583607
597.5204,15.693,1688.3079,2.292102,0.03689,6060.0,1.27,1.48,2008.5357,2.4262793,0.058526786
4538.421,12.3,268.61753,446.27,1.258,5653.0,1.32,1.76,1.8692195,29.998156,0.36217656
0.257,0.69,756.62603,4.655411,0.048,4348.35,0.69,0.67,78.037018,0.53980256,0.29868753
43.86032,7.163,939.80561,18.38818,0.1528,6095.0,1.41,1.87,185.2479,0.85483421,0.12004219
1373.0256,12.408,1295.0379,2.8792319,0.04127,5747.0,1.13,1.08,667.93017,8.918156,0.073190977
1001.12,12.106,906.2241,3.0927616,0.03781,4675.0,0.75,0.7,160.42536,6.8310081,0.079821269
54.4738,8.51,466.84897,44.3989,0.2373,5172.0,0.91,0.94,11.287559,0.75219173,0.18618842
7.3,1.31,477.12207,22.717,0.1463,4699.0,0.81,0.78,12.511823,4.2538314,0.39013041
155.7367,14.572,1440.6756,9.1751,0.0916,4840.0,1.08,3.85,1092.1569,0.73341982,0.062991844
292.4036,20.512,2084.9361,1.809886,0.033,6250.0,1.46,1.73,4487.1658,0.69497103,0.045586607
416.3573,19.504,1503.5158,3.32944,0.04613,6003.0,2.06,1.78,1213.4813,1.0945077,0.048385685
246.00042,11.276,587.42143,48.36685,0.305,6302.0,1.19,1.51,28.274851,1.9347538,0.11435476
200.2329,18.271,1544.2996,3.916243,0.0562,6430.0,1.55,1.98,1350.6019,0.59980599,0.051251405
8.15,2.78,650.69818,4.795069,0.04771,4140.0,0.63,0.61,42.766758,1.054552,0.24752379
30.8,4.7,652.737,4.052037,0.0417,3950.0,0.59,0.58,43.15942,1.3942961,0.18365733
247.9074,18.046,1715.9196,3.55395,0.05084,6200.0,1.08,1.66,2058.6803,0.76125049,0.051562375
235.1942,17.878,1459.4171,4.511164,0.063,6478.0,1.64,1.7,1077.2559,0.73584906,0.052468776
908.9938,15.917,1714.7275,4.08722,0.05512,6030.0,2.52,2.55,2052.9652,3.5878848,0.057773416
231.69807,16.018,1484.2397,2.7164762,0.03908,5870.0,1.08,1.28,1156.2157,0.90303761,0.057844844
5.1,4.81,1385.7672,5.4122,0.066,6397.0,1.28,1.58,1052.2417,0.22043473,0.15553724
37.18611,8.967,838.7912,5.924262,0.062,5310.0,0.92,0.8,117.54837,0.46247303,0.10404129
3082.951,14.908,1522.0714,4.193649,0.0583,6424.0,1.5,1.71,1430.6306,13.871641,0.061498985
411.27202,12.812,1296.3893,1.4200242,0.02332,5013.0,0.84,0.8,670.72255,2.5055052,0.071178641
3003.37,12.5,107.22171,4323.0,5.28,5690.0,1.04,0.99,0.031385724,19.221568,0.10344184
280.95,10.783,1057.1858,2.9444256,0.0376,5150.0,0.78,0.77,297.48196,2.4162943,0.084581542
16.42,5.09,632.23389,16.06819,0.1189,5325.0,0.85,0.87,38.611096,0.63377863,0.17762407
258.07796,14.908,726.49723,2.647298,0.0326,3916.0,0.62,0.57,66.163793,1.1612137,0.076503599
18.1,3.0,473.07559,17.30713,0.1185,4500.0,0.74,0.68,11.913614,2.0111111,0.30565293
112.2,13.0,358.53075,101.12,0.407,5348.0,0.81,0.94,3.9266298,0.66390533,0.26257852
12.0,3.497,604.00374,21.01538,0.1093,5200.0,0.82,0.77,31.605282,0.9812733,0.22883347
130.3103,10.05,697.71672,7.133514,0.067,4714.0,0.78,0.75,56.482906,1.2901691,0.10490419
1646.3594,14.258,1335.3751,5.5514926,0.06969,6509.0,1.46,1.51,758.49089,8.098553,0.064648655
1093.3352,15.917,1510.5917,4.62767,0.0596,6600.0,2.65,1.82,1247.8173,4.3154978,0.058106187
10.5,3.232,509.01479,35.12537,0.1539,5200.0,0.82,0.77,15.941264,1.0051864,0.27336785
200.2329,17.598,1495.1181,4.5776348,0.06007,6572.0,1.38,1.62,1258.2318,0.64655997,0.053080376
327.3649,12.274,1570.1411,4.2180896,0.05798,7175.0,1.46,1.43,1474.5534,2.1730007,0.073001737
266.9772,17.15,1837.3207,2.052868,0.0347,6010.0,1.33,1.64,2706.0826,0.9077075,0.053881703
158.915,17.71,1456.8618,3.95019,0.055,6170.0,1.67,1.48,1069.7311,0.50667301,0.05292431
90.3,10.435,1314.7386,3.28883,0.0449,5800.0,1.12,1.27,727.20924,0.82928315,0.08476727
106.0,11.27,817.83469,22.342989,0.1684,6182.0,1.28,1.52,106.27251,0.8345609,0.087961158
77.55052,9.718,801.20691,18.71204,0.1436,6089.0,1.13,1.28,97.929513,0.82116593,0.099557841
489.45575,12.588,1167.6923,4.1419771,0.05064,5678.0,1.01,1.1,441.78211,3.0888724,0.073103653
5.34,2.167,216.7816,83.9997,0.312,3770.2,0.56,0.53,0.52443397,1.1371649,0.65860318
677.61356,12.038,963.56361,3.3098443,0.04101,4953.0,0.84,0.8,204.84057,4.6759882,0.078751612
854.9627,13.563,1410.1434,3.310651,0.0469,5900.0,1.25,1.37,938.97562,4.6476739,0.067277888
3917.2351,12.4,149.07723,2088.7585,3.311,5950.0,1.1,1.19,0.17197034,25.476295,0.21803109
94.71287,13.798,1430.0109,3.9443715,0.0497,5603.0,1.17,1.66,995.27957,0.49748125,0.066204338
473.5667,15.244,1379.405,2.47063,0.03563,5850.0,1.36,1.12,859.74242,2.0379019,0.060778902
10.5,1.71,1477.5143,3.743208,0.05119,6182.0,1.28,1.52,1187.5287,3.5908485,0.27017899
233.92288,17.295,1790.2624,1.645321,0.0286,6124.0,1.16,1.25,2439.3153,0.78204469,0.053513535
638.8383,15.244,1995.1448,1.5449298,0.0274,6409.0,1.2,1.32,3762.6938,2.749116,0.059826668
206.5895,10.536,1053.098,2.8997,0.03866,5185.0,1.06,0.87,292.06284,1.8610443,0.086294852
88.35674,12.218,997.77012,3.7684952,0.0452,5298.0,0.87,0.87,235.35484,0.59188787,0.077117409
8.17,2.742,543.43641,1.5804043,0.0149,3250.0,0.18,0.21,20.772608,1.0866437,0.27839216
731.009,13.3,88.346248,3407.0,4.13,4780.0,0.81,0.68,0.020017866,4.1325626,0.088166401
807.2882,12.666,865.1778,8.15872,0.0801,5600.0,1.34,1.03,143.44149,5.0321043,0.07771493
8.3,2.12,690.85017,9.4897116,0.0805,5212.0,0.85,0.73,54.194072,1.8467426,0.27277788
607.03,14.975,1499.4842,1.3061858,0.02282,5650.0,0.93,0.83,1200.5181,2.7069267,0.061395638
676.9779,12.644,1460.0886,1.7771255,0.02818,5806.0,0.95,0.93,1079.24,4.234533,0.071393956
143.0235,14.3,160.66594,1628.0,2.73,5863.0,1.02,1.05,0.15864702,0.69941562,0.19908018
7.8,2.45,862.92582,14.339156,0.1202,6203.0,1.13,1.19,132.30775,1.2994586,0.24274745
433.20012,16.197,1671.8559,2.1805354,0.03558,6360.0,1.26,1.26,1857.6825,1.651275,0.056926338
180.84527,12.722,1081.166,3.6528151,0.0466,5519.0,1.01,0.92,324.59593,1.1173684,0.073314167
467.2101,17.901,1771.769,2.7325321,0.04211,6700.0,1.33,1.52,2340.0736,1.4580004,0.051880876
301.9385,11.994,1075.3006,10.62656,0.092,6261.0,1.28,1.39,321.25068,2.0988935,0.07710188
311.4734,13.563,1405.6995,2.78849,0.04073,5960.0,1.04,1.12,927.19521,1.6932046,0.067292333
4.94,2.071,938.36646,6.203449,0.062,5660.0,0.87,0.88,184.27558,1.1517726,0.25832924
40.68224,5.717,931.74974,3.836169,0.0453,4910.0,0.84,0.76,178.98401,1.2447108,0.14237201
293.03926,12.823,1068.4572,2.9626404,0.03762,5473.0,0.81,0.74,310.61974,1.7821593,0.072970782
159.55066,16.477,1049.4589,4.1117771,0.04632,5313.0,0.78,0.87,288.0467,0.58768191,0.059140655
731.009,13.787,1483.4388,2.8786765,0.0408,5910.0,1.09,1.32,1149.9519,3.8457688,0.066106718
4.72,2.017,557.21093,29.54115,0.1758,5660.0,0.87,0.88,22.936534,1.1601929,0.30952833
387.7526,12.218,1472.2658,3.634433,0.0494,6272.0,1.22,1.36,1115.6966,2.5974935,0.073528772
248.86089,17.822,1736.7478,2.972086,0.04363,6002.0,1.26,1.88,2173.6801,0.78350861,0.052124728
263.7989,12.778,1097.4628,3.94153,0.0488,5750.0,0.88,0.88,344.4771,1.6156497,0.072851553
8.0,3.195,546.45106,28.579743,0.1752,5348.0,0.81,0.94,21.192538,0.78369714,0.25781976
14.2,3.567,889.99493,9.03055,0.085,5552.0,1.04,1.14,148.99918,1.1160461,0.19705539
18.75188,8.0,548.40423,17.16073,0.1293,5026.0,0.77,0.75,21.899506,0.29299812,0.15209378
1021.1878,22.754,1291.653,0.9809734,0.01782,4590.0,0.78,0.72,660.97434,1.9723778,0.042747978
572.094,10.761,917.42185,7.87288,0.075,5070.0,0.89,0.9,168.21994,4.9404002,0.087499908
10.8,4.1,683.95695,11.8993,0.0971,5322.0,0.88,0.82,53.747134,0.64247472,0.1944739
279.6904,13.115,1152.9659,5.72319,0.0667,6087.0,1.45,1.3,422.19627,1.6260765,0.070682804
27.0,5.76,817.18391,19.49221,0.1493,6069.0,1.17,1.39,105.8962,0.81380208,0.14596648
2542.64,17.71,2234.6179,2.0219596,0.0365,7000.0,1.59,1.79,5921.2619,8.1067681,0.052117703
2.0,1.425,2114.4469,0.4465688,0.0106,5372.0,0.81,0.84,4746.6616,0.98491844,0.28240928
283.492,15.984,1508.222,3.128992,0.0452,6330.0,1.26,1.32,1230.9634,1.1096087,0.057899457
432.2488,12.778,1460.1431,2.07276,0.03303,5640.0,1.18,1.08,1079.4011,2.6473297,0.070738395
